gate_id,capability_id,gate_name,gate_status,risk_level,owner,due_date,evidence_required,blocker
REL001-BACKLOG,REL001,Backlog,Block,High,QA Lead,2026-05-28,"User story is refined, estimated, and mapped to acceptance criteria.",Open ServiceNow release item
REL001-BUILD,REL001,Build,Block,High,Support,2026-06-01,"Feature branch, configuration, and test data are ready for sprint execution.",Dependency owner not confirmed
REL001-QA,REL001,QA,Block,High,Support,2026-06-05,"Functional, regression, and role-based test evidence is available.",Dependency owner not confirmed
REL001-PACKAGE,REL001,Package,Block,High,QA Lead,2026-06-08,"Managed solution package, deployment notes, and dependencies are validated.",Rollback note incomplete
REL001-ROLLOUT,REL001,Rollout,Block,High,DevOps,2026-06-11,"Training, support handoff, release notes, and adoption checks are ready.",Missing acceptance evidence
REL002-BUILD,REL002,Build,Watch,Medium,Product Owner,2026-05-28,"Feature branch, configuration, and test data are ready for sprint execution.",Training sign-off pending
REL002-QA,REL002,QA,Watch,Medium,QA Lead,2026-06-04,"Functional, regression, and role-based test evidence is available.",Training sign-off pending
REL002-PACKAGE,REL002,Package,Block,High,Training,2026-06-07,"Managed solution package, deployment notes, and dependencies are validated.",Open ServiceNow release item
REL002-ROLLOUT,REL002,Rollout,Block,High,DevOps,2026-06-14,"Training, support handoff, release notes, and adoption checks are ready.",Missing acceptance evidence
REL003-BACKLOG,REL003,Backlog,Watch,Medium,DevOps,2026-05-20,"User story is refined, estimated, and mapped to acceptance criteria.",Training sign-off pending
REL003-QA,REL003,QA,Watch,Medium,DevOps,2026-06-05,"Functional, regression, and role-based test evidence is available.",Missing acceptance evidence
REL003-PACKAGE,REL003,Package,Block,High,DevOps,2026-06-04,"Managed solution package, deployment notes, and dependencies are validated.",Training sign-off pending
REL003-ROLLOUT,REL003,Rollout,Block,High,Product Owner,2026-06-17,"Training, support handoff, release notes, and adoption checks are ready.",Open ServiceNow release item
REL004-BUILD,REL004,Build,Watch,Medium,Product Owner,2026-06-02,"Feature branch, configuration, and test data are ready for sprint execution.",Open ServiceNow release item
REL004-QA,REL004,QA,Watch,Medium,DevOps,2026-06-06,"Functional, regression, and role-based test evidence is available.",Rollback note incomplete
REL004-PACKAGE,REL004,Package,Watch,Medium,Product Owner,2026-06-04,"Managed solution package, deployment notes, and dependencies are validated.",Open ServiceNow release item
REL004-ROLLOUT,REL004,Rollout,Block,High,Product Owner,2026-06-08,"Training, support handoff, release notes, and adoption checks are ready.",Training sign-off pending
REL005-BACKLOG,REL005,Backlog,Block,High,QA Lead,2026-05-19,"User story is refined, estimated, and mapped to acceptance criteria.",Dependency owner not confirmed
REL005-BUILD,REL005,Build,Block,High,DevOps,2026-05-28,"Feature branch, configuration, and test data are ready for sprint execution.",Rollback note incomplete
REL005-QA,REL005,QA,Block,High,Training,2026-06-03,"Functional, regression, and role-based test evidence is available.",Missing acceptance evidence
REL005-PACKAGE,REL005,Package,Block,High,Product Owner,2026-06-10,"Managed solution package, deployment notes, and dependencies are validated.",Open ServiceNow release item
REL005-ROLLOUT,REL005,Rollout,Block,High,Support,2026-06-08,"Training, support handoff, release notes, and adoption checks are ready.",Dependency owner not confirmed
REL006-PACKAGE,REL006,Package,Block,High,QA Lead,2026-06-09,"Managed solution package, deployment notes, and dependencies are validated.",Missing acceptance evidence
REL006-ROLLOUT,REL006,Rollout,Block,High,Product Owner,2026-06-10,"Training, support handoff, release notes, and adoption checks are ready.",Missing acceptance evidence
REL007-BACKLOG,REL007,Backlog,Block,High,Support,2026-05-23,"User story is refined, estimated, and mapped to acceptance criteria.",Dependency owner not confirmed
REL007-BUILD,REL007,Build,Block,High,Training,2026-06-02,"Feature branch, configuration, and test data are ready for sprint execution.",Rollback note incomplete
REL007-QA,REL007,QA,Block,High,Training,2026-05-28,"Functional, regression, and role-based test evidence is available.",Rollback note incomplete
REL007-PACKAGE,REL007,Package,Block,High,Support,2026-06-03,"Managed solution package, deployment notes, and dependencies are validated.",Training sign-off pending
REL007-ROLLOUT,REL007,Rollout,Block,High,QA Lead,2026-06-16,"Training, support handoff, release notes, and adoption checks are ready.",Dependency owner not confirmed
REL009-BACKLOG,REL009,Backlog,Block,High,Support,2026-05-22,"User story is refined, estimated, and mapped to acceptance criteria.",Dependency owner not confirmed
REL009-BUILD,REL009,Build,Watch,Medium,QA Lead,2026-05-28,"Feature branch, configuration, and test data are ready for sprint execution.",Rollback note incomplete
REL009-QA,REL009,QA,Watch,Medium,Training,2026-05-28,"Functional, regression, and role-based test evidence is available.",Rollback note incomplete
REL009-PACKAGE,REL009,Package,Block,High,Support,2026-06-12,"Managed solution package, deployment notes, and dependencies are validated.",Training sign-off pending
REL009-ROLLOUT,REL009,Rollout,Block,High,QA Lead,2026-06-08,"Training, support handoff, release notes, and adoption checks are ready.",Dependency owner not confirmed
REL010-QA,REL010,QA,Watch,Medium,DevOps,2026-06-07,"Functional, regression, and role-based test evidence is available.",Open ServiceNow release item
REL011-BACKLOG,REL011,Backlog,Block,High,QA Lead,2026-05-26,"User story is refined, estimated, and mapped to acceptance criteria.",Rollback note incomplete
REL011-BUILD,REL011,Build,Block,High,DevOps,2026-05-23,"Feature branch, configuration, and test data are ready for sprint execution.",Missing acceptance evidence
